OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
223540740,233,15th & East Capitol St NE,31630,38.889908,-76.983326,YES,NO,,,NO,10,0,401446.57181554,135785.14170208,,DC
223540741,234,8th & F St NE,31631,38.897274,-76.994749,YES,NO,,,NO,7,7,400455.50943968,136602.70680593,,DC
223540742,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,YES,NO,,,NO,4,11,401827.51926549,139913.2820472,,DC
223540743,236,15th & F St NE,31632,38.897195,-76.983575,YES,NO,,,NO,13,6,401424.82399465,136594.05225642,,DC
223540744,237,12th & Irving St NE,31511,38.928644,-76.990955,YES,NO,,,NO,6,8,400784.28320356,140085.0622346,,DC
223540745,239,Alabama & MLK Ave SE,31800,38.84323,-76.999376,YES,NO,,,NO,4,7,400054.17124801,130603.40760852,,DC
223540746,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,YES,NO,,,NO,1,10,400864.66651397,132897.63895866,,DC
223540747,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,YES,NO,,,NO,12,2,401109.30924373,137319.66124122,,DC
223540748,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,24,5,397559.68883751,138769.17197864,,DC
223540749,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,YES,NO,,,NO,6,5,390883.88955688,131609.71253131,,
223540750,244,S Stafford & 34th St S,31064,38.834108,-77.087323,YES,NO,,,NO,2,9,392418.26989469,129594.42903651,,
223540751,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,5,6,392541.48161705,134766.91705858,,
223540752,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,2,8,393724.23923893,133273.6172133,,
223540753,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,2,12,399830.38573816,135504.16169424,,DC
223540754,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,1,13,397983.92709424,136333.97809506,,DC
223540755,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,9,5,398615.04270249,138861.60900002,,DC
223540756,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,6,13,399588.4183945,138920.6660217,,DC
223540757,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,1,25,398792.6549073,136047.85718073,,DC
223540758,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,8,20,398805.40570038,135459.84686256,,DC
223540759,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,1,14,397764.90711108,135497.14874174,,DC
223540760,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,YES,NO,,,NO,9,6,400243.30946072,139957.7002703,,DC
223540761,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,YES,NO,,,NO,11,1,392484.11792553,132743.63730167,,
223540762,256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,YES,NO,,,NO,12,0,390319.53509636,132062.29229881,,
223540763,257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,YES,NO,,,NO,3,8,390636.1213437,133782.8595827,,
223540764,258,Fenton St & New York Ave,32001,38.985404,-77.023082,YES,NO,,,NO,0,15,398000.17527578,146386.15892257,,
223540765,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,YES,NO,,,NO,9,10,391558.50228853,145912.95751583,,
223540766,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,YES,NO,,,NO,5,6,392010.75030162,146216.09966891,,
223540767,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,YES,NO,,,NO,15,4,383332.89363763,158715.52157619,,
223540768,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,YES,NO,,,NO,7,12,382482.01381244,158436.61187288,,
223540769,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,YES,NO,,,NO,2,9,391636.2322207,146740.89768535,,
223540770,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,YES,NO,,,NO,5,9,386910.31438669,157355.87132814,,
223540771,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,YES,NO,,,NO,2,9,391507.26098283,146849.60289105,,
223540772,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,YES,NO,,,NO,14,1,399017.79198301,145928.16270611,,
223540773,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,YES,NO,,,NO,18,0,399453.20125046,146188.66055368,,
223540774,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,YES,NO,,,NO,1,17,397472.19246231,147474.87366525,,
